cloc,cori,deRT,deori,dereport,id,imiloc,imiori,ordercondition,pmiloc,pmiori,report,rt1,sub,testc,trial,trialconflict,target,nontarget,error,abserror,deerror,deabserror,badtrial,debadtrial
2.0,8.0,2352.0,164.0,145.0,1,2.0,8.0,1.0,0.0,67.0,31.0,2055.0,1.0,0.0,0.0,2.0,67.0,8.0,-36.0,36.0,-19.0,19.0,,
1.0,89.0,2715.0,5.0,9.0,1,1.0,99.0,1.0,3.0,131.0,115.0,2152.0,1.0,0.0,1.0,2.0,131.0,89.0,-16.0,16.0,4.0,4.0,,
1.0,84.0,1670.0,147.0,134.0,1,1.0,44.0,1.0,2.0,80.0,63.0,2668.0,1.0,0.0,2.0,2.0,80.0,84.0,-17.0,17.0,-13.0,13.0,,
0.0,7.0,1531.0,7.0,16.0,1,0.0,134.0,1.0,1.0,5.0,25.0,2711.0,1.0,1.0,3.0,2.0,7.0,5.0,18.0,18.0,9.0,9.0,,
5.0,177.0,7482.0,31.0,26.0,1,5.0,56.0,1.0,4.0,91.0,90.0,3985.0,1.0,0.0,4.0,2.0,91.0,177.0,-1.0,1.0,-5.0,5.0,,
5.0,106.0,5948.0,121.0,121.0,1,5.0,145.0,1.0,2.0,166.0,69.0,1563.0,1.0,0.0,5.0,2.0,166.0,106.0,83.0,83.0,0.0,0.0,True,
1.0,171.0,1608.0,26.0,33.0,1,1.0,102.0,1.0,2.0,33.0,20.0,2128.0,1.0,0.0,6.0,2.0,33.0,171.0,-13.0,13.0,7.0,7.0,,
3.0,32.0,1986.0,59.0,54.0,1,3.0,82.0,1.0,0.0,102.0,34.0,2164.0,1.0,1.0,7.0,2.0,32.0,102.0,2.0,2.0,-5.0,5.0,,
3.0,153.0,1381.0,126.0,127.0,1,3.0,23.0,1.0,4.0,169.0,139.0,1964.0,1.0,0.0,8.0,2.0,169.0,153.0,-30.0,30.0,1.0,1.0,,
5.0,84.0,1927.0,107.0,110.0,1,5.0,66.0,1.0,0.0,109.0,42.0,3105.0,1.0,1.0,9.0,2.0,84.0,109.0,-42.0,42.0,3.0,3.0,,
4.0,97.0,1557.0,150.0,141.0,1,4.0,138.0,1.0,5.0,19.0,36.0,1923.0,1.0,0.0,10.0,2.0,19.0,97.0,17.0,17.0,-9.0,9.0,,
4.0,114.0,1389.0,31.0,37.0,1,4.0,119.0,1.0,1.0,74.0,49.0,2916.0,1.0,0.0,11.0,2.0,74.0,114.0,-25.0,25.0,6.0,6.0,,
0.0,6.0,3242.0,10.0,13.0,1,0.0,124.0,1.0,4.0,97.0,109.0,2154.0,1.0,0.0,12.0,2.0,97.0,6.0,12.0,12.0,3.0,3.0,,
4.0,130.0,1789.0,165.0,140.0,1,4.0,17.0,1.0,3.0,24.0,117.0,3623.0,1.0,1.0,13.0,2.0,130.0,24.0,-13.0,13.0,-25.0,25.0,,
5.0,10.0,1812.0,2.0,5.0,1,5.0,57.0,1.0,3.0,16.0,11.0,1624.0,1.0,1.0,14.0,2.0,10.0,16.0,1.0,1.0,3.0,3.0,,
0.0,109.0,3481.0,12.0,15.0,1,0.0,77.0,1.0,2.0,147.0,43.0,2414.0,1.0,1.0,15.0,2.0,109.0,147.0,-66.0,66.0,3.0,3.0,True,
5.0,86.0,1588.0,130.0,124.0,1,5.0,62.0,1.0,1.0,93.0,137.0,1357.0,1.0,0.0,16.0,2.0,93.0,86.0,44.0,44.0,-6.0,6.0,,
1.0,179.0,1990.0,52.0,46.0,1,1.0,0.0,1.0,0.0,178.0,1.0,5381.0,1.0,1.0,17.0,2.0,179.0,178.0,2.0,2.0,-6.0,6.0,,
0.0,129.0,2839.0,126.0,0.0,1,0.0,172.0,1.0,2.0,122.0,119.0,1355.0,1.0,0.0,18.0,2.0,122.0,129.0,-3.0,3.0,54.0,54.0,,True
2.0,20.0,2034.0,133.0,133.0,1,2.0,74.0,1.0,0.0,102.0,130.0,1530.0,1.0,0.0,19.0,2.0,102.0,20.0,28.0,28.0,0.0,0.0,,
3.0,2.0,1442.0,22.0,25.0,1,3.0,24.0,1.0,4.0,142.0,11.0,2505.0,1.0,0.0,20.0,2.0,142.0,2.0,49.0,49.0,3.0,3.0,,
1.0,83.0,1533.0,72.0,54.0,1,1.0,86.0,1.0,5.0,49.0,48.0,1357.0,1.0,1.0,21.0,2.0,83.0,49.0,-35.0,35.0,-18.0,18.0,,
